,host_location,host_response_time,host_response_rate,host_acceptance_rate,host_is_superhost,host_neighbourhood,host_total_listings_count,host_verifications,host_identity_verified,neighbourhood,property_type,room_type,bedrooms,minimum_nights,maximum_nights,has_availability,availability_30,number_of_reviews,number_of_reviews_ltm,number_of_reviews_l30d,review_scores_rating,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,instant_bookable,price,price_avg,price_std,beds,accommodates,reviews_per_month,availability_60,availability_90,availability_365,revenue,booking_rate,bathrooms_text,price_per_person,accom_per_bed,price_surge_percent,price_std_percent
33,"Antwerp, Belgium",within an hour,100.0,89.0,f,host neighbourhood not available,2,"['email', 'phone']",t,neighbourhood not available,Entire rental unit,Entire home/apt,1.0,1,365,t,6,4,4,4,4.0,4.5,3.25,4.5,4.75,4.75,4.5,t,50.0,50.0,0.0,1.0,2.0,4.0,6,6,270,36.986301369863014,73.97260273972603,1.5 baths,25.0,2.0,0.0,0.0
34,"Antwerpen, Belgium",within a day,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,45,1125,t,0,12,0,0,4.67,4.67,4.67,4.82,4.64,4.36,4.55,t,45.0,45.0,0.0,1.0,2.0,0.11,2,6,247,30.45205479452055,67.67123287671232,1 bath,22.5,2.0,0.0,0.0
35,"Antwerp, Belgium",within a few hours,100.0,59.0,f,host neighbourhood not available,1,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,1125,t,28,19,5,0,4.53,4.79,4.58,5.0,5.0,4.89,4.63,f,80.0,80.0,0.0,1.0,2.0,0.24,58,88,363,79.56164383561644,99.45205479452055,1 bath,40.0,2.0,0.0,0.0
36,"Antwerpen, Belgium",within a few hours,100.0,53.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Private room in loft,Private room,1.0,1,1125,t,28,45,8,0,4.57,4.49,4.73,4.53,4.68,4.77,4.53,f,77.22191780821917,77.22191780821917,14.527448882621563,1.0,2.0,0.43,57,87,87,13.347945205479451,23.835616438356162,2.5 shared baths,38.61095890410959,2.0,0.0,18.812597893127336
37,"Antwerp, Belgium",within an hour,100.0,97.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Entire condo,Entire home/apt,1.0,2,30,t,16,123,14,3,4.43,4.64,4.43,4.82,4.76,4.33,4.47,f,82.95890410958904,82.95890410958904,10.03241772401507,2.0,4.0,1.38,38,68,248,54.84931506849315,67.94520547945206,1 bath,20.73972602739726,2.0,0.0,12.093238009463345
38,"Antwerpen, Belgium",response not available,94.5228426395939,0.0,f,host neighbourhood not available,3,"['email', 'phone']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,2,4,t,0,1,0,0,5.0,5.0,5.0,5.0,5.0,5.0,4.0,f,85.0,85.0,0.0,1.0,2.0,0.02,0,1,80,18.63013698630137,21.91780821917808,1 shared bath,42.5,2.0,0.0,0.0
39,"Zoersel, Belgium",within a few hours,100.0,0.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,neighbourhood not available,Private room in bed and breakfast,Private room,1.0,1,1125,t,30,0,0,0,4.661060291060291,4.7311087866108785,4.645094142259414,4.817196652719665,4.824921548117155,4.752520920502092,4.655899581589958,f,165.0,165.0,0.0,1.0,2.0,1.7640488565488563,60,90,365,165.0,100.0,1.5 baths,82.5,2.0,0.0,0.0
40,"Antwerp, Belgium",within an hour,100.0,96.0,f,host neighbourhood not available,4,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,2.0,3,366,t,15,26,13,0,4.92,4.96,5.0,5.0,5.0,5.0,4.88,f,199.35616438356163,199.35616438356163,7.0853700513178985,2.0,3.0,0.27,39,69,344,187.8082191780822,94.24657534246576,1.5 baths,66.45205479452055,1.5,0.0,3.554126391439611
41,"Antwerp, Belgium",within an hour,100.0,87.0,t,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire home,Entire home/apt,1.0,2,1125,t,4,186,30,0,4.9,4.88,4.86,4.93,4.91,4.56,4.86,f,65.0,65.0,0.0,1.0,2.0,1.81,16,24,149,26.534246575342465,40.821917808219176,1 bath,32.5,2.0,0.0,0.0
42,"Antwerp, Belgium",within a day,100.0,92.0,t,host neighbourhood not available,2,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,2,1125,t,0,35,5,1,4.71,4.85,4.79,4.94,4.91,4.67,4.61,f,66.11780821917809,66.11780821917809,0.9720464514509698,2.0,4.0,0.37,0,0,174,31.693150684931506,47.671232876712324,1 bath,16.529452054794522,2.0,0.0,1.4701734338026933
43,"Antwerp, Belgium",within an hour,100.0,68.0,f,host neighbourhood not available,2,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Entire townhouse,Entire home/apt,3.0,2,10,t,1,2,2,0,5.0,5.0,4.5,5.0,5.0,5.0,5.0,f,170.68493150684932,170.68493150684932,15.787807154076445,4.0,6.0,1.13,2,2,61,33.15068493150685,16.71232876712329,2 baths,28.447488584474886,1.5,0.0,9.249678348696472
44,host location not available,within a few hours,100.0,68.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerp, Flanders, Belgium",Entire rental unit,Entire home/apt,1.0,5,1125,t,0,38,6,1,4.95,4.95,4.76,4.97,4.97,4.91,4.94,f,70.7095890410959,70.7095890410959,2.7120085204999245,1.0,2.0,0.37,0,0,0,0.0,0.0,1 bath,35.35479452054795,2.0,0.0,3.8354183036245972
45,"Antwerp, Belgium",response not available,94.5228426395939,0.0,f,host neighbourhood not available,1,"['email', 'phone', 'work_email']",t,"Antwerpen, Vlaanderen, Belgium",Entire loft,Entire home/apt,1.0,10,1125,t,1,8,0,0,5.0,4.88,4.88,4.88,4.88,5.0,5.0,f,70.0,70.0,0.0,1.0,2.0,0.19,1,1,1,0.1917808219178082,0.273972602739726,1.5 baths,35.0,2.0,0.0,0.0
46,"Antwerp, Belgium",within an hour,100.0,100.0,f,host neighbourhood not available,1,"['email', 'phone']",f,"Antwerp, Flanders, Belgium",Private room in townhouse,Private room,1.0,2,1125,t,17,424,56,4,4.59,4.75,4.9,4.75,4.71,4.53,4.59,t,37.33424657534247,37.33424657534247,1.9394841260751012,1.0,2.0,4.11,45,64,306,31.15890410958904,83.83561643835617,1 shared bath,18.667123287671235,2.0,0.0,5.194919688980788
47,"Antwerp, Belgium",a few days or more,0.0,59.0,f,host neighbourhood not available,1,"['email', 'phone']",t,"Antwerpen, Vlaams Gewest, Belgium",Private room in home,Private room,1.0,1,1125,t,25,124,7,0,4.44,4.45,4.34,4.77,4.7,4.39,4.42,f,37.13972602739726,37.13972602739726,1.808005680333282,5.0,5.0,1.4,55,85,360,36.61369863013699,98.63013698630137,2 shared baths,7.4279452054794515,1.0,0.0,4.868117979652169
48,"Antwerp, Belgium",within a day,100.0,80.0,f,host neighbourhood not available,6,"['email', 'phone']",t,"Antwerp, Flanders, Belgium",Entire townhouse,Entire home/apt,3.0,7,1125,t,0,178,4,1,4.67,4.73,4.74,4.88,4.83,4.25,4.6,f,140.0,140.0,0.0,6.0,6.0,1.78,1,1,1,0.3835616438356164,0.273972602739726,1 bath,23.333333333333332,1.0,0.0,0.0
